Data Source	World Development Indicators																																																													
																																																														
Last Updated Date	30.01.2019																																																													
																																																														
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Antigua and Barbuda	ATG	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																			8.635282086	14.8454883	11.39877921	8.352613469	11.2726971	5.172482413	3.844239769	7.411259866	8.124940169	8.876444532	12.37059487	4.580706607	1.650256876	2.606173769	2.461605668	1.812866904	3.245330371	2.40313418	2.977139389	1.827374669	2.110117117	1.503616099	1.552082733	1.483866161	0.701495132	-0.96310438	1.641425434	4.460415547	0.40826506	3.738824164	4.38021507	1.788011398	1.440232725	1.199383856	2.480504613	-1.424103636	2.169780662	2.431673423	2.052720732	0.068789923	
Australia	AUS	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		3.222996023	-0.075705938	1.789188954	3.287209323	2.982969771	2.684415762	4.864998858	2.25205667	4.754019609	5.133212171	5.185336435	6.189037596	8.983272039	16.38147347	16.48962793	14.01838329	11.41853123	8.236034492	8.634894136	10.01569803	9.525962935	11.70903334	10.15768261	7.863346176	4.628539769	6.428492816	7.127190793	7.299369699	9.247962739	6.10436051	3.024697501	1.456668153	0.879713567	1.02697961	2.272651898	2.695782976	1.233343122	1.272896805	0.355066029	2.579481368	4.62148467	2.860257973	3.113409302	3.309029336	3.795763491	5.092929969	5.014311782	4.525093288	5.003473379	1.163802785	6.25869016	1.874443802	-0.157896221	1.439945165	-0.728029657	-0.45836818	3.701453585	
Austria	AUT	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		5.087153717	3.340203214	3.678266121	3.183788219	5.321415449	3.122366081	3.247762568	2.838031951	2.733572877	6.451391443	6.204372327	7.59993207	8.045543121	9.502138628	6.457775996	5.624919088	5.198712998	5.993015024	4.11437144	5.580629099	6.716667651	5.355289925	3.47278384	4.949773208	2.962995513	2.950997611	2.436948258	1.526854872	2.964760907	2.999680428	3.641871474	3.479093128	2.757084616	2.524942866	1.813918059	0.986204274	1.266998426	0.44190019	0.256350668	1.364041084	1.947103099	1.145600159	1.307550179	1.739720537	2.537792666	1.892161861	2.221175991	1.956320756	1.889266618	0.873054056	1.833409896	2.054236904	1.623888691	1.980457536	2.314823496	1.088852144	1.55636179	
Azerbaijan	AZE	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																																67.8415575	1140.310084	750.6718632	1386.067375	545.6563654	26.41916195	9.242504053	-0.965133967	2.162142358	12.4927737	2.5150101	3.120339705	6.007564856	8.313906521	16.14078305	11.30121955	20.98190417	27.76195318	-18.92973159	13.75655299	22.56608671	2.847939958	0.45752317	-0.558659406	-8.855123624	14.67140063	15.95333585	
Burundi	BDI	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		20.07743634	-3.567416454	4.687149302	5.417217573	-1.029363778	3.152033961	-5.317986172	3.05681315	5.361879836	5.184511807	1.380218947	4.29080997	5.510442472	12.45517764	21.08690579	8.074948246	14.30412561	12.50770522	26.13070761	16.38402436	-6.063315087	5.672021548	6.428548803	17.21619499	5.068838976	-4.257414237	-3.417795078	3.4912227	14.75718482	5.985561541	4.093140789	5.401760705	7.742645673	6.638445457	16.10271174	14.45311141	32.39778923	11.45055601	14.95414026	38.9448932	13.71640679	1.027858567	11.94574864	13.14615934	18.84158947	2.845666334	8.27337152	24.21579774	10.45879485	8.561551747	8.364247586	14.29243968	7.955459176	5.30485357	21.33404254	0.944925443	11.4706841	
Belgium	BEL	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		1.315468694	1.667691946	3.0257967	4.642426558	5.100712937	4.086014933	3.193430937	2.620289277	4.023826311	7.242423909	5.358215919	6.317820348	6.806986689	12.16834099	12.88972132	7.575264261	7.478059617	4.423249763	4.505241918	4.126596526	5.139197045	7.570416769	5.612849432	5.438717419	4.627743027	2.796780399	1.684110728	2.168990148	4.797457799	2.812403184	2.876624601	3.424524527	3.993231832	2.094305124	1.220769401	0.444072153	0.899233194	1.760777427	0.568594736	2.023575857	2.101592901	1.679841676	1.962814203	1.980600515	2.136030909	2.309882953	2.007498028	1.915219077	0.778103162	1.883091286	2.001847292	1.97466857	1.046204858	0.665453943	1.114787241	1.584435879	1.677988141	
Benin	BEN	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		1.041435672	3.780561136	2.549041132	-0.363671983	2.057620458	1.136665599	0.141072431	3.273524952	3.454195522	5.04704694	1.573283774	5.317226078	4.822739942	14.9207099	14.24693576	14.03543002	5.176886815	12.33445895	13.00468583	10.18781985	7.468948266	16.14828401	4.746209742	1.953580959	-4.876981735	-3.604172582	3.02845985	-0.610506907	2.224934457	2.176596925	0.756620152	3.025134466	2.378321821	35.03011278	15.09945191	6.907293665	3.667509173	5.231604748	8.543260489	4.338065007	1.972079109	3.553106878	3.06386771	0.77019549	4.293805217	2.091668629	0.390494254	6.438068579	2.53020605	0.884971821	3.733877525	7.692696608	1.40667989	-0.248640139	0.075747138	-0.279995286	0.031707418	
Burkina Faso	BFA	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		1.900608242	2.010371569	5.147524754	1.812216582	-0.656072018	2.303116945	-4.411008405	-0.263878695	6.913154193	1.783427218	3.377475325	7.296645255	2.677858966	11.01470938	8.176155974	6.725505666	18.66197634	14.5323255	7.753525513	8.694368528	13.58461938	9.046516419	5.409316963	6.501085288	0.757066706	-6.345676864	1.237323173	3.4085566	4.831620408	1.810015422	-3.967780749	0.227059619	-1.441839779	14.63896188	6.769569034	0.348705151	1.55619985	7.940316033	4.43648392	-0.819771968	3.179629518	3.837945803	1.48477964	0.09062731	3.739396495	-0.662821135	0.994991923	7.639188433	2.405470435	6.806101001	6.705946363	5.823973269	-2.129175315	-0.62037906	-3.073429795	-1.110257591	4.524925633	
Bangladesh	BGD	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG		6.257481579	0.022223496	5.164059022	-8.743224624	7.931704957	6.296188834	14.79196345	-5.769584381	11.8277158	0.510309049	2.963254932	4.402019652	61.40578328	44.5427169	80.5697564	-17.63041929	-3.210155929	25.61888559	12.56450599	17.55506709	9.894690312	9.855812463	8.487755878	7.875566349	18.4951157	8.254404894	11.11963117	7.495835297	8.33797325	6.532735292	2.729531996	2.582161899	0.155518173	3.966216316	7.144938703	19.14321311	3.800232201	4.736212562	3.781037737	3.44665935	3.261160132	3.892867435	5.815816648	4.56213638	4.586360705	5.875935815	6.471260103	7.860966092	6.764354686	7.14464873	7.859446035	8.164597746	7.174948668	5.668788528	5.872764205	6.72784119	6.278683267	
Bulgaria	BGR	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG																						2.820938368	1.916472804	-0.645271728	2.736748496	0.229177129	1.345489614	0.0638388	-5.389743836	6.729684134	26.18800066	226.53786	59.57864928	51.09105386	72.7049684	62.3766487	103.4391513	958.5032348	31.3541382	3.217566646	7.196768253	6.108405732	3.773705853	2.271150183	5.659485096	6.511692512	6.741437635	11.09139848	8.129765514	4.047417475	1.107474183	5.978628166	1.555244694	-0.70290592	0.462505958	2.206092813	2.24609969	3.402636334	
